group,code,recognizability_1_to_5,separation_1_to_5,temporal_stability_1_to_5,notes
depth-40,98C56E3A,4,4,4,"Objects remain recognizable; subdued grid and color identity."
depth-40,593B581A,5,5,5,"Strong depth hierarchy, teal floor grid, and stable saturated identity."
depth-40,C2B1EFC6,4,4,4.5,"Stable objects but weaker floor perspective after omitting dark teal."
depth-40,5C3C2068,5,5,5,"Excellent grid, face separation, and stable chromatic identity."
depth-40,538217A2,5,5,5,"Excellent grid, face separation, and stable chromatic identity."
depth-40,35DACB19,4.5,4.5,4.5,"Good depth with a darker, less explicit grid."
monochrome-40,C2D50665,5,5,4.5,"Strongest tonal ladder and silhouette hierarchy."
monochrome-40,3C5E7847,4.5,4.5,4.5,"Near-baseline neutral hierarchy with stable silhouette."
monochrome-40,959C047C,4.5,4.5,4.5,"Near-baseline neutral hierarchy with stable silhouette."
monochrome-40,11803C9A,4.5,4.5,4.5,"Near-baseline neutral hierarchy without chromatic contamination."
monochrome-40,6FCFEA7F,3.5,3.5,4,"Blue-biased shadow planes materially reduce grayscale separation."
monochrome-40,A504A135,3,3,4,"Large blue shadow regions materially compromise monochrome hierarchy."
screen-40,09819E9C,4,4,4.5,"Interface remains readable but comparatively subdued."
screen-40,274F2430,5,5,5,"Strong pane separation, cursor visibility, and stable color coding."
screen-40,E3FD5E5D,4.5,4.5,4.5,"Good detail retention with a dominant blue lower region."
screen-40,50EA4AEA,5,5,5,"Strong pane separation, cursor visibility, and stable color coding."
screen-40,39193065,4.5,4.5,4.5,"Clear interface with a dark teal lower region."
screen-40,D388450C,4.5,4.5,4.5,"Clear interface with a darker blue lower region."
